Date,timeOpen,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
23-08-2024,00:00:00.000Z,2024-08-23T22:26:00.000Z,2024-08-23T00:00:00.000Z,2781,0.105307844,0.115239472,0.105305328,0.112927189,860650258.63,16448749740.34,2024-08-23T23:59:59.999Z
22-08-2024,00:00:00.000Z,2024-08-22T11:01:00.000Z,2024-08-22T02:55:00.000Z,2781,0.106156672,0.106822276,0.104273762,0.105307844,391690266.34,15337571048.88,2024-08-22T23:59:59.999Z
21-08-2024,00:00:00.000Z,2024-08-21T20:27:00.000Z,2024-08-21T13:52:00.000Z,2781,0.103000403,0.107825054,0.102461666,0.106156547,509933481.25,15459740170.12,2024-08-21T23:59:59.999Z
20-08-2024,00:00:00.000Z,2024-08-20T07:55:00.000Z,2024-08-20T00:17:00.000Z,2781,0.101505522,0.105619001,0.101228724,0.103000519,695089222.30,14998687526.07,2024-08-20T23:59:59.999Z
19-08-2024,00:00:00.000Z,2024-08-19T17:37:00.000Z,2024-08-19T11:31:00.000Z,2781,0.100172003,0.10180683,0.09871216,0.101504483,463249308.68,14779477687.92,2024-08-19T23:59:59.999Z
18-08-2024,00:00:00.000Z,2024-08-18T13:14:00.000Z,2024-08-18T23:58:00.000Z,2781,0.102755252,0.10430572,0.100169257,0.100172003,377630489.78,14584097709.77,2024-08-18T23:59:59.999Z
17-08-2024,00:00:00.000Z,2024-08-17T17:38:00.000Z,2024-08-17T00:37:00.000Z,2781,0.100439193,0.103631358,0.100156467,0.102755017,305545333.05,14958794844.06,2024-08-17T23:59:59.999Z
16-08-2024,00:00:00.000Z,2024-08-16T06:52:00.000Z,2024-08-16T15:38:00.000Z,2781,0.100267221,0.102027891,0.097742391,0.100439193,539609334.32,14620245951.67,2024-08-16T23:59:59.999Z
15-08-2024,00:00:00.000Z,2024-08-15T14:50:00.000Z,2024-08-15T18:34:00.000Z,2781,0.102554962,0.104797671,0.098194878,0.100266715,617034813.44,14593869628.17,2024-08-15T23:59:59.999Z
14-08-2024,00:00:00.000Z,2024-08-14T12:31:00.000Z,2024-08-14T14:13:00.000Z,2781,0.106416237,0.106739748,0.101805076,0.1025552,564943504.80,14925455962.72,2024-08-14T23:59:59.999Z
13-08-2024,00:00:00.000Z,2024-08-13T00:56:00.000Z,2024-08-13T10:25:00.000Z,2781,0.107767267,0.108843118,0.103571982,0.106415987,575505923.46,15485972467.67,2024-08-13T23:59:59.999Z
12-08-2024,00:00:00.000Z,2024-08-12T23:22:00.000Z,2024-08-12T00:35:00.000Z,2781,0.1005663,0.108535178,0.10047092,0.107766544,778786434.34,15681119817.62,2024-08-12T23:59:59.999Z
11-08-2024,00:00:00.000Z,2024-08-11T03:34:00.000Z,2024-08-11T22:34:00.000Z,2781,0.105202756,0.110793906,0.100299363,0.100566455,676944255.64,14631938640.59,2024-08-11T23:59:59.999Z
10-08-2024,00:00:00.000Z,2024-08-10T18:49:00.000Z,2024-08-10T04:52:00.000Z,2781,0.103973694,0.105858722,0.10311567,0.105201943,371267774.00,15305109013.54,2024-08-10T23:59:59.999Z
09-08-2024,00:00:00.000Z,2024-08-09T00:53:00.000Z,2024-08-09T16:01:00.000Z,2781,0.107408871,0.107582055,0.10177352,0.103973694,602450304.56,15124905301.79,2024-08-09T23:59:59.999Z
08-08-2024,00:00:00.000Z,2024-08-08T22:59:00.000Z,2024-08-08T00:46:00.000Z,2781,0.095515013,0.107771689,0.0939775,0.10740448,858015368.93,15623149431.20,2024-08-08T23:59:59.999Z
07-08-2024,00:00:00.000Z,2024-08-07T09:43:00.000Z,2024-08-07T22:29:00.000Z,2781,0.096370774,0.101846951,0.094594466,0.095514732,1000135339.16,13891853161.81,2024-08-07T23:59:59.999Z
06-08-2024,00:00:00.000Z,2024-08-06T01:20:00.000Z,2024-08-06T00:01:00.000Z,2781,0.094502086,0.101387756,0.094367329,0.096370652,1124169389.44,14015016250.47,2024-08-06T23:59:59.999Z
05-08-2024,00:00:00.000Z,2024-08-05T00:07:00.000Z,2024-08-05T11:35:00.000Z,2781,0.103732459,0.104166119,0.080830675,0.094502502,3194029250.17,13741965677.24,2024-08-05T23:59:59.999Z
04-08-2024,00:00:00.000Z,2024-08-04T02:35:00.000Z,2024-08-04T17:46:00.000Z,2781,0.108169299,0.109214398,0.09960571,0.103733303,827323033.65,15082807094.70,2024-08-04T23:59:59.999Z
03-08-2024,00:00:00.000Z,2024-08-03T07:38:00.000Z,2024-08-03T20:13:00.000Z,2781,0.111506721,0.114497264,0.105417938,0.108169225,808239470.74,15726481910.47,2024-08-03T23:59:59.999Z
02-08-2024,00:00:00.000Z,2024-08-02T00:20:00.000Z,2024-08-02T21:32:00.000Z,2781,0.119235283,0.119513415,0.110567232,0.111508168,826720039.20,16210178742.25,2024-08-02T23:59:59.999Z
01-08-2024,00:00:00.000Z,2024-08-01T01:05:00.000Z,2024-08-01T18:13:00.000Z,2781,0.122021111,0.122932471,0.112828259,0.119235624,861079383.71,17332111890.49,2024-08-01T23:59:59.999Z
31-07-2024,00:00:00.000Z,2024-07-31T13:43:00.000Z,2024-07-31T21:39:00.000Z,2781,0.125592516,0.127200658,0.121542625,0.122013716,609802169.47,17735427527.47,2024-07-31T23:59:59.999Z
30-07-2024,00:00:00.000Z,2024-07-30T01:27:00.000Z,2024-07-30T20:11:00.000Z,2781,0.128662337,0.130305602,0.123662381,0.125594826,638122391.07,18252828299.65,2024-07-30T23:59:59.999Z
29-07-2024,00:00:00.000Z,2024-07-29T08:26:00.000Z,2024-07-29T23:19:00.000Z,2781,0.130076191,0.134949358,0.127954627,0.128673501,809333955.21,18697247714.73,2024-07-29T23:59:59.999Z
28-07-2024,00:00:00.000Z,2024-07-28T11:25:00.000Z,2024-07-28T05:24:00.000Z,2781,0.131596766,0.131800497,0.128324416,0.130074845,755293791.26,18900975340.60,2024-07-28T23:59:59.999Z
27-07-2024,00:00:00.000Z,2024-07-27T14:07:00.000Z,2024-07-27T20:28:00.000Z,2781,0.134317575,0.138667063,0.131341054,0.131591958,1193072780.97,19120150269.42,2024-07-27T23:59:59.999Z
26-07-2024,00:00:00.000Z,2024-07-26T23:14:00.000Z,2024-07-26T00:01:00.000Z,2781,0.125221513,0.134878323,0.125199517,0.13431802,752603627.85,19513667603.56,2024-07-26T23:59:59.999Z
25-07-2024,00:00:00.000Z,2024-07-25T00:26:00.000Z,2024-07-25T20:13:00.000Z,2781,0.128088849,0.128641353,0.120322689,0.125220833,970420635.43,18190416759.75,2024-07-25T23:59:59.999Z
24-07-2024,00:00:00.000Z,2024-07-24T13:43:00.000Z,2024-07-24T23:28:00.000Z,2781,0.130385572,0.134626925,0.127244165,0.12808809,734879688.79,18605345514.76,2024-07-24T23:59:59.999Z
