Date,timeOpen,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
02-08-2024,00:00:00.000Z,2024-08-02T00:20:00.000Z,2024-08-02T21:32:00.000Z,2781,3201.599383,3214.527062,2965.733959,2986.013153,21400241740.62,359070017357.43,2024-08-02T23:59:59.999Z
01-08-2024,00:00:00.000Z,2024-08-01T00:11:00.000Z,2024-08-01T18:46:00.000Z,2781,3231.248666,3241.777327,3078.543878,3201.564447,20217639555.82,384996532526.49,2024-08-01T23:59:59.999Z
31-07-2024,00:00:00.000Z,2024-07-31T13:43:00.000Z,2024-07-31T21:31:00.000Z,2781,3278.686596,3347.63659,3216.071707,3231.295707,16135380636.88,388556036409.16,2024-07-31T23:59:59.999Z
30-07-2024,00:00:00.000Z,2024-07-30T13:21:00.000Z,2024-07-30T20:11:00.000Z,2781,3320.635191,3365.322564,3235.759968,3278.667793,14045773046.54,394254431325.22,2024-07-30T23:59:59.999Z
29-07-2024,00:00:00.000Z,2024-07-29T10:33:00.000Z,2024-07-29T16:33:00.000Z,2781,3271.453464,3396.625755,3257.715615,3320.53921,18334852719.12,399234373762.25,2024-07-29T23:59:59.999Z
28-07-2024,00:00:00.000Z,2024-07-28T18:31:00.000Z,2024-07-28T05:11:00.000Z,2781,3247.507305,3283.152142,3201.763294,3271.464636,8959236445.64,393322680889.11,2024-07-28T23:59:59.999Z
27-07-2024,00:00:00.000Z,2024-07-27T13:47:00.000Z,2024-07-27T20:26:00.000Z,2781,3275.891709,3327.426494,3195.356738,3247.607982,15198233287.39,390442331336.25,2024-07-27T23:59:59.999Z
26-07-2024,00:00:00.000Z,2024-07-26T23:25:00.000Z,2024-07-26T00:36:00.000Z,2781,3174.051052,3285.76093,3172.777173,3275.951424,15993893520.76,393854940397.20,2024-07-26T23:59:59.999Z
25-07-2024,00:00:00.000Z,2024-07-25T00:25:00.000Z,2024-07-25T20:14:00.000Z,2781,3336.362309,3341.438456,3088.76449,3174.427315,25293745810.03,381610809754.16,2024-07-25T23:59:59.999Z
24-07-2024,00:00:00.000Z,2024-07-24T00:12:00.000Z,2024-07-24T21:13:00.000Z,2781,3482.151959,3487.653057,3304.039213,3336.339424,16040945448.27,401125218715.64,2024-07-24T23:59:59.999Z
23-07-2024,00:00:00.000Z,2024-07-23T09:36:00.000Z,2024-07-23T17:02:00.000Z,2781,3440.76842,3539.531735,3395.420892,3481.995954,24468405649.90,418653262700.26,2024-07-23T23:59:59.999Z
22-07-2024,00:00:00.000Z,2024-07-22T00:49:00.000Z,2024-07-22T23:13:00.000Z,2781,3536.627172,3560.075505,3425.795747,3440.419892,18723199034.02,413677789549.03,2024-07-22T23:59:59.999Z
21-07-2024,00:00:00.000Z,2024-07-21T22:06:00.000Z,2024-07-21T18:13:00.000Z,2781,3519.426557,3546.619238,3415.443789,3536.60544,13845913681.14,425202725801.31,2024-07-21T23:59:59.999Z
20-07-2024,00:00:00.000Z,2024-07-20T17:49:00.000Z,2024-07-20T01:55:00.000Z,2781,3505.721336,3539.904292,3482.488908,3519.295344,10360198324.58,423126701294.68,2024-07-20T23:59:59.999Z
19-07-2024,00:00:00.000Z,2024-07-19T19:24:00.000Z,2024-07-19T08:28:00.000Z,2781,3425.90881,3540.588346,3377.877575,3505.734841,17705629736.48,421472486025.11,2024-07-19T23:59:59.999Z
18-07-2024,00:00:00.000Z,2024-07-18T13:20:00.000Z,2024-07-18T16:04:00.000Z,2781,3388.030068,3488.715655,3374.99043,3426.258591,15035622003.12,411914155211.69,2024-07-18T23:59:59.999Z
